SYMBOL_ID,SYMBOL_NAME
2030,CAH
2031,CAI
2032,CAJ
2033,CAKE
2034,CAL
2035,CALA
2036,CALD
2037,CALF
2038,CALI
2039,CALL
2040,CALM
2041,CALX
2042,CAMP
2043,CAMT
2044,CANF
2045,CAPL
2046,CAPR
2047,CAR
2048,CARA
2049,CARB
2050,CARG
2051,CARO
2052,CARS
2053,CART
2054,CARV
2055,CASC
2056,CASH
2057,CASI
2058,CASM
2059,CASS
2060,CASY
2061,CAT
2062,CATB
2063,CATC
2064,CATH
2065,CATM
2066,CATO
2067,CATS
2068,CATY
2069,CATYW
2070,CAVM
2071,CAW
2072,CB
2073,CBA
2074,CBAK
2075,CBAN
2076,CBAY
2077,CBB
2078,CBB_B
2079,CBD
2080,CBF
2081,CBFV
2082,CBG
2083,CBH
2084,CBI
2085,CBIO
2086,CBK
2087,CBL
2088,CBLI
2089,CBL_D
2090,CBL_E
2091,CBM
2092,CBMG
2093,CBMX
2094,CBMXW
2095,CBO
2096,CBOE
2097,CBPO
2098,CBPX
2099,CBRL
2100,CBS-A
2101,CBS
2102,CBSH
2103,CBSHP
2104,CBT
2105,CBTX
2106,CBU
2107,CBX
2108,CBZ
2109,CC
2110,CCA
2111,CCBG
2112,CCC
2113,CCCL
2114,CCCR
2115,CCD
2116,CCE
2117,CCF
2118,CCI
2119,CCIH
2120,CCI_A
2121,CCJ
2122,CCK
2123,CCL
2124,CCLP
2125,CCM
2126,CCMP
2127,CCNE
2128,CCO
2129,CCOI
2130,CCOR
2131,CCRC
2132,CCRN
2133,CCS
2134,CCU
2135,CCUR
2136,CCV-CL
2137,CCV
2138,CCXI
2139,CCZ
2140,CDC
2141,CDE
2142,CDEV
2143,CDK
2144,CDL
2145,CDNA
2146,CDNS
2147,CDOR
2148,CDR
2149,CDR_B
2150,CDR_C
2151,CDTI
2152,CDTX
2153,CDW
2154,CDXC
2155,CDXS
2156,CDZI
2157,CE
2158,CEA
2159,CECE
2160,CECO
2161,CEE
2162,CEF
2163,CEFS
2164,CEI
2165,CEL
2166,CELC
2167,CELG
2168,CELGZ
2169,CELH
2170,CELP
2171,CEM
2172,CEMB
2173,CEMI
2174,CEN
2175,CENT
2176,CENTA
2177,CENX
2178,CEO
2179,CEQP
2180,CERC
2181,CERCW
2182,CERN
2183,CERS
2184,CET
2185,CETV
2186,CETX
2187,CETXP
2188,CETXW
2189,CEV
2190,CEVA
2191,CEY
2192,CEZ
2193,CF
2194,CFA
2195,CFBI
2196,CFBK
2197,CFCO
2198,CFCOU
2199,CFCOW
2200,CFC_B
2201,CFFI
2202,CFFN
2203,CFG
2204,CFMS
2205,CFNB
2206,CFO
2207,CFR
2208,CFRX
2209,CFR_A
2210,CFX
2211,CG
2212,CGA
2213,CGBD
2214,CGEN
2215,CGG
2216,CGI
2217,CGIX
2218,CGNT
2219,CGNX
2220,CGO
2221,CH
2222,CHA
2223,CHAD
2224,CHCI
2225,CHCO
2226,CHCT
2227,CHD
2228,CHDN
2229,CHE
2230,CHEF
2231,CHEK
2232,CHEKW
2233,CHFC
2234,CHFN
2235,CHFS
2236,CHGG
2237,CHGX
2238,CHH
2239,CHI
2240,CHK
2241,CHKE
2242,CHKP
2243,CHKR
2244,CHK_D
2245,CHL
2246,CHMA
2247,CHMG
2248,CHMI
2249,CHMI_A
2250,CHN
2251,CHNR
2252,CHRS
2253,CHRW
2254,CHS
2255,CHSCL
2256,CHSCM
2257,CHSCN
2258,CHSCO
2259,CHSCP
2260,CHSP
2261,CHT
2262,CHTR
2263,CHU
2264,CHUBA
2265,CHUBK
2266,CHUY
2267,CHW
2268,CHY
2269,CI
2270,CIA
2271,CIB
2272,CIBR
2273,CIC-U
2274,CIC-WS
2275,CIC
2276,CID
2277,CIDM
2278,CIE
2279,CIEN
2280,CIF
2281,CIFS
2282,CIG-C
2283,CIG
2284,CIGI
2285,CII
2286,CIK
2287,CIL
2288,CIM
2289,CIM_A
2290,CIM_B
2291,CINF
2292,CINR
2293,CIO
2294,CIO_A
2295,CIR
2296,CISN-WS
2297,CISN
2298,CIT
2299,CIVB
2300,CIVBP
2301,CIVI
2302,CIX
2303,CIZ
2304,CIZN
2305,CJ
2306,CJJD
2307,CKH
2308,CKPT
2309,CKX
2310,CL
2311,CLAR
2312,CLB
2313,CLBS
2314,CLCT
2315,CLD
2316,CLDC
2317,CLDR
2318,CLDT
2319,CLDX
2320,CLF
2321,CLFD
2322,CLGX
2323,CLH
2324,CLI
2325,CLIR
2326,CLIRW
2327,CLLS
2328,CLM
2329,CLMT
2330,CLNE
2331,CLNS
2332,CLNS_B
2333,CLNS_C-CL
2334,CLNS_D
2335,CLNS_E
2336,CLNS_G
2337,CLNS_H
2338,CLNS_I
2339,CLNS_J
2340,CLNT
2341,CLPR
2342,CLR
2343,CLRB
2344,CLRBW
2345,CLRBZ
2346,CLRO
2347,CLS
2348,CLSD
2349,CLSN
2350,CLTL
2351,CLUB
2352,CLVS
2353,CLW
2354,CLWT
2355,CLX
2356,CLXT
2357,CLYH
2358,CM
2359,CMA-WS
2360,CMA
2361,CMC
2362,CMCL
2363,CMCM
2364,CMCO
2365,CMCSA
2366,CMCT
2367,CMD
2368,CME
2369,CMFN
2370,CMG
2371,CMI
2372,CMLS
2373,CMO
2374,CMO_E
2375,CMP
2376,CMPR
2377,CMRE
2378,CMRE_B
2379,CMRE_C
2380,CMRE_D
2381,CMRX
2382,CMS
2383,CMSS
2384,CMSSR
2385,CMSSU
2386,CMSSW
2387,CMS_B
2388,CMT
2389,CMTA
2390,CMTL
2391,CMU
2392,CNA
2393,CNAC
2394,CNACR
2395,CNACU
2396,CNACW
2397,CNAT
2398,CNBKA
2399,CNC
2400,CNCE
2401,CNCR
2402,CNDF
2403,CNDT
2404,CNET
2405,CNFR
2406,CNHI
2407,CNHX
2408,CNI
2409,CNIT
2410,CNK
2411,CNMD
2412,CNNX
2413,CNO
2414,CNOB
2415,CNP
2416,CNQ
2417,CNS
2418,CNSF
2419,CNSL
2420,CNTF
2421,CNTY
2422,CNX
2423,CNXC
2424,CNXN
2425,CNXR
2426,CNYA
2427,CO
2428,COBZ
2429,CODA
2430,CODI
2431,CODI_A
2432,CODX
2433,COE
2434,COF-WS
2435,COF
2436,COF_C
2437,COF_D
2438,COF_F
2439,COF_G
2440,COF_H
2441,COF_P
2442,COG
2443,COGT
2444,COHN
2445,COHR
2446,COHU
2447,COKE
2448,COL
2449,COLB
2450,COLL
2451,COLM
2452,COM
2453,COMB
2454,COMG
2455,COMM
2456,CONE
2457,CONN
2458,COO
2459,COOL
2460,COP
2461,COR
2462,CORE
2463,CORI
2464,CORR
2465,CORR_A
2466,CORT
2467,COR_A-CL
2468,COR_A
2469,COST
2470,COT
2471,COTV
2472,COTY
2473,COUP
2474,COWN
2475,COWNL
2476,COWZ
2477,CP
2478,CPA
2479,CPAC
2480,CPAH
2481,CPB
2482,CPE
2483,CPE_A
2484,CPF
2485,CPG
2486,CPHC
2487,CPHI
2488,CPIX
2489,CPK
2490,CPL
2491,CPLA
2492,CPLP
2493,CPN
2494,CPRT
2495,CPRX
2496,CPS
2497,CPSH
2498,CPSI
2499,CPSS
2500,CPST
2501,CPT
2502,CPTA
2503,CPTAG
2504,CPTAL
2505,CQH
2506,CQP
2507,CR
2508,CRAI
2509,CRAK
2510,CRAY
2511,CRBP
2512,CRC
2513,CRCM
2514,CRD-A
2515,CRD-B
2516,CREE
2517,CREG
2518,CRESY
2519,CRF
2520,CRH
2521,CRHM
2522,CRI
2523,CRIS
2524,CRK
2525,CRL
2526,CRM
2527,CRMD
2528,CRME
2529,CRMT
2530,CRNT
2531,CROX
2532,CRR
2533,CRS
2534,CRSP
2535,CRT
2536,CRTN
2537,CRTO
2538,CRUS
2539,CRVL
2540,CRVP
2541,CRVS
2542,CRWS
2543,CRY
2544,CRZO
2545,CS
2546,CSA
2547,CSB
2548,CSBK
2549,CSBR
2550,CSCO
2551,CSF
2552,CSFL
2553,CSGP
2554,CSGS
2555,CSII
2556,CSIQ
2557,CSL
2558,CSLT
2559,CSML
2560,CSOD
2561,CSPI
2562,CSQ
2563,CSRA
2564,CSS
2565,CSSE
2566,CSTE
2567,CSTM
2568,CSTR
2569,CSU
2570,CSV
2571,CSWC
2572,CSWI
2573,CSX
2574,CTAA
2575,CTAS
2576,CTB
2577,CTBB
2578,CTBI
2579,CTDD
2580,CTEK
2581,CTG
2582,CTHR
2583,CTIB
2584,CTIC
2585,CTL
2586,CTLT
2587,CTMX
2588,CTO
2589,CTR
2590,CTRE
2591,CTRL
2592,CTRN
2593,CTRP
2594,CTRV
2595,CTS
2596,CTSH
2597,CTSO
2598,CTT
2599,CTU
2600,CTV
2601,CTW
2602,CTWS
2603,CTX
2604,CTXR
2605,CTXRW
2606,CTXS
2607,CTY
2608,CTZ
2609,CUB
2610,CUBA
2611,CUBE
2612,CUBI
2613,CUBI_C
2614,CUBI_D
2615,CUBI_E
2616,CUBI_F
2617,CUBN
2618,CUBS
2619,CUDA
2620,CUI
2621,CUK
2622,CULP
2623,CUMB
2624,CUNB
2625,CUO
2626,CUR
2627,CUTR
2628,CUZ
2629,CVA
2630,CVBF
2631,CVCO
2632,CVCY
2633,CVE
2634,CVEO
2635,CVG
2636,CVGI
2637,CVGW
2638,CVI
2639,CVLT
2640,CVLY
2641,CVM-WS
2642,CVM
2643,CVNA
2644,CVO
2645,CVR
2646,CVRR
2647,CVRS
2648,CVS
2649,CVTI
2650,CVU
2651,CVV
2652,CVX
2653,CW
2654,CWAI
2655,CWAY
2656,CWBC
2657,CWCO
2658,CWEB
2659,CWH
2660,CWS
